"","","","Cu"
"","","","ppm"
"04.Iso Cu 90 24.03.26","CP OFICIAL CU","3/24/2026 2:12 PM","80.7",""
"04.Iso Cu 90 24.03.26","CP OFICIAL CU","3/24/2026 2:15 PM","81.7",""
"04.Iso Cu 90 24.03.26","CP OFICIAL CU","3/24/2026 2:17 PM","81.2",""
"Number","","","3"
"Average","","","81.2"
"Maximum","","","81.7"
"Minimum","","","80.7"
"Range","","","1.0"
"Std dev.","","","0.5"
"RSD(%)","","","0.59"

"","","","Mid-Z"
"","","","Cu-KA"
"","","","cps/µA"
"04.Iso Cu 90 24.03.26","CP OFICIAL CU","3/24/2026 2:12 PM","4.047"
"04.Iso Cu 90 24.03.26","CP OFICIAL CU","3/24/2026 2:15 PM","4.078"
"04.Iso Cu 90 24.03.26","CP OFICIAL CU","3/24/2026 2:17 PM","4.064"
"Number","","","3"
"Average","","","4.06295"
"Maximum","","","4.07798"
"Minimum","","","4.04722"
"Range","","","0.03077"
"Std dev.","","","0.01539"
"RSD(%)","","","0.38"

