"","","","Cu"
"","","","ppm"
"03.Iso Cu 60 24.03.26","CP OFICIAL CU","3/24/2026 2:06 PM","82.0",""
"03.Iso Cu 60 24.03.26","CP OFICIAL CU","3/24/2026 2:09 PM","82.4",""
"03.Iso Cu 60 24.03.26","CP OFICIAL CU","3/24/2026 2:11 PM","83.3",""
"Number","","","3"
"Average","","","82.6"
"Maximum","","","83.3"
"Minimum","","","82.0"
"Range","","","1.3"
"Std dev.","","","0.6"
"RSD(%)","","","0.77"

"","","","Mid-Z"
"","","","Cu-KA"
"","","","cps/µA"
"03.Iso Cu 60 24.03.26","CP OFICIAL CU","3/24/2026 2:06 PM","4.088"
"03.Iso Cu 60 24.03.26","CP OFICIAL CU","3/24/2026 2:09 PM","4.102"
"03.Iso Cu 60 24.03.26","CP OFICIAL CU","3/24/2026 2:11 PM","4.128"
"Number","","","3"
"Average","","","4.10601"
"Maximum","","","4.12801"
"Minimum","","","4.08775"
"Range","","","0.04026"
"Std dev.","","","0.02039"
"RSD(%)","","","0.50"

