"","","","Cu"
"","","","ppm"
"04.Iso Cu 250 24.03.26","CP OFICIAL CU","3/24/2026 2:46 PM","196",""
"04.Iso Cu 250 24.03.26","CP OFICIAL CU","3/24/2026 2:48 PM","193",""
"04.Iso Cu 250 24.03.26","CP OFICIAL CU","3/24/2026 2:50 PM","195",""
"Number","","","3"
"Average","","","195"
"Maximum","","","196"
"Minimum","","","193"
"Range","","","2"
"Std dev.","","","1"
"RSD(%)","","","0.59"

"","","","Mid-Z"
"","","","Cu-KA"
"","","","cps/µA"
"04.Iso Cu 250 24.03.26","CP OFICIAL CU","3/24/2026 2:46 PM","7.709"
"04.Iso Cu 250 24.03.26","CP OFICIAL CU","3/24/2026 2:48 PM","7.644"
"04.Iso Cu 250 24.03.26","CP OFICIAL CU","3/24/2026 2:50 PM","7.706"
"Number","","","3"
"Average","","","7.68632"
"Maximum","","","7.70920"
"Minimum","","","7.64413"
"Range","","","0.06507"
"Std dev.","","","0.03659"
"RSD(%)","","","0.48"

