"","","","Cu"
"","","","ppm"
"05.60  Cu 25.03.26","CP OFICIAL CU","3/25/2026 11:10 AM","22.5",""
"05.60  Cu 25.03.26","CP OFICIAL CU","3/25/2026 11:12 AM","22.3",""
"05.60  Cu 25.03.26","CP OFICIAL CU","3/25/2026 11:14 AM","22.1",""
"Number","","","3"
"Average","","","22.3"
"Maximum","","","22.5"
"Minimum","","","22.1"
"Range","","","0.3"
"Std dev.","","","0.2"
"RSD(%)","","","0.78"

"","","","Mid-Z"
"","","","Cu-KA"
"","","","cps/µA"
"05.60  Cu 25.03.26","CP OFICIAL CU","3/25/2026 11:10 AM","2.190"
"05.60  Cu 25.03.26","CP OFICIAL CU","3/25/2026 11:12 AM","2.185"
"05.60  Cu 25.03.26","CP OFICIAL CU","3/25/2026 11:14 AM","2.179"
"Number","","","3"
"Average","","","2.18441"
"Maximum","","","2.18991"
"Minimum","","","2.17881"
"Range","","","0.01110"
"Std dev.","","","0.00555"
"RSD(%)","","","0.25"

