"","","","Cu"
"","","","ppm"
"02.Iso Cu 180 24.03.26","CP OFICIAL CU","3/24/2026 2:33 PM","1.67",""
"02.Iso Cu 180 24.03.26","CP OFICIAL CU","3/24/2026 2:36 PM","1.33",""
"02.Iso Cu 180 24.03.26","CP OFICIAL CU","3/24/2026 2:38 PM","1.58",""
"Number","","","3"
"Average","","","1.53"
"Maximum","","","1.67"
"Minimum","","","1.33"
"Range","","","0.35"
"Std dev.","","","0.18"
"RSD(%)","","","11.81"

"","","","Mid-Z"
"","","","Cu-KA"
"","","","cps/µA"
"02.Iso Cu 180 24.03.26","CP OFICIAL CU","3/24/2026 2:33 PM","1.526"
"02.Iso Cu 180 24.03.26","CP OFICIAL CU","3/24/2026 2:36 PM","1.515"
"02.Iso Cu 180 24.03.26","CP OFICIAL CU","3/24/2026 2:38 PM","1.523"
"Number","","","3"
"Average","","","1.52112"
"Maximum","","","1.52587"
"Minimum","","","1.51474"
"Range","","","0.01113"
"Std dev.","","","0.00575"
"RSD(%)","","","0.38"

