"","","","Cu"
"","","","ppm"
"03.Iso Cu 210 24.03.26","CP OFICIAL CU","3/24/2026 2:40 PM","172",""
"03.Iso Cu 210 24.03.26","CP OFICIAL CU","3/24/2026 2:42 PM","173",""
"03.Iso Cu 210 24.03.26","CP OFICIAL CU","3/24/2026 2:44 PM","172",""
"Number","","","3"
"Average","","","172"
"Maximum","","","173"
"Minimum","","","172"
"Range","","","1"
"Std dev.","","","0"
"RSD(%)","","","0.15"

"","","","Mid-Z"
"","","","Cu-KA"
"","","","cps/µA"
"03.Iso Cu 210 24.03.26","CP OFICIAL CU","3/24/2026 2:40 PM","6.961"
"03.Iso Cu 210 24.03.26","CP OFICIAL CU","3/24/2026 2:42 PM","6.977"
"03.Iso Cu 210 24.03.26","CP OFICIAL CU","3/24/2026 2:44 PM","6.968"
"Number","","","3"
"Average","","","6.96867"
"Maximum","","","6.97703"
"Minimum","","","6.96078"
"Range","","","0.01625"
"Std dev.","","","0.00814"
"RSD(%)","","","0.12"

