"","","","Cu"
"","","","ppm"
"05.Iso Cu 120 24.03.26","CP OFICIAL CU","3/24/2026 2:18 PM","106",""
"05.Iso Cu 120 24.03.26","CP OFICIAL CU","3/24/2026 2:21 PM","106",""
"05.Iso Cu 120 24.03.26","CP OFICIAL CU","3/24/2026 2:22 PM","105",""
"Number","","","3"
"Average","","","106"
"Maximum","","","106"
"Minimum","","","105"
"Range","","","1"
"Std dev.","","","0"
"RSD(%)","","","0.33"

"","","","Mid-Z"
"","","","Cu-KA"
"","","","cps/µA"
"05.Iso Cu 120 24.03.26","CP OFICIAL CU","3/24/2026 2:18 PM","4.858"
"05.Iso Cu 120 24.03.26","CP OFICIAL CU","3/24/2026 2:21 PM","4.850"
"05.Iso Cu 120 24.03.26","CP OFICIAL CU","3/24/2026 2:22 PM","4.836"
"Number","","","3"
"Average","","","4.84820"
"Maximum","","","4.85847"
"Minimum","","","4.83618"
"Range","","","0.02229"
"Std dev.","","","0.01125"
"RSD(%)","","","0.23"

