"","","","Cu"
"","","","ppm"
"03.01  Cu 25.03.26","CP OFICIAL CU","3/25/2026 10:21 AM","23.2",""
"03.01  Cu 25.03.26","CP OFICIAL CU","3/25/2026 10:23 AM","23.5",""
"03.01  Cu 25.03.26","CP OFICIAL CU","3/25/2026 10:25 AM","23.0",""
"Number","","","3"
"Average","","","23.3"
"Maximum","","","23.5"
"Minimum","","","23.0"
"Range","","","0.5"
"Std dev.","","","0.3"
"RSD(%)","","","1.07"

"","","","Mid-Z"
"","","","Cu-KA"
"","","","cps/µA"
"03.01  Cu 25.03.26","CP OFICIAL CU","3/25/2026 10:21 AM","2.214"
"03.01  Cu 25.03.26","CP OFICIAL CU","3/25/2026 10:23 AM","2.223"
"03.01  Cu 25.03.26","CP OFICIAL CU","3/25/2026 10:25 AM","2.207"
"Number","","","3"
"Average","","","2.21485"
"Maximum","","","2.22328"
"Minimum","","","2.20743"
"Range","","","0.01585"
"Std dev.","","","0.00797"
"RSD(%)","","","0.36"

