","""","""",""Cu"""
","""","""",""ppm"""
"02.90  Cu 25.03.26,""CP OFICIAL CU"",""3/25/2026 11:18 AM"",""20.6"","""""
"02.90  Cu 25.03.26,""CP OFICIAL CU"",""3/25/2026 11:21 AM"",""20.8"","""""
"02.90  Cu 25.03.26,""CP OFICIAL CU"",""3/25/2026 11:23 AM"",""20.5"","""""
"Number,"""","""",""3"""
"Average,"""","""",""20.6"""
"Maximum,"""","""",""20.8"""
"Minimum,"""","""",""20.5"""
"Range,"""","""",""0.4"""
"Std dev.,"""","""",""0.2"""
"RSD(%),"""","""",""0.90"""

","""","""",""Mid-Z"""
","""","""",""Cu-KA"""
","""","""",""cps/µA"""
"02.90  Cu 25.03.26,""CP OFICIAL CU"",""3/25/2026 11:18 AM"",""2.128"""
"02.90  Cu 25.03.26,""CP OFICIAL CU"",""3/25/2026 11:21 AM"",""2.137"""
"02.90  Cu 25.03.26,""CP OFICIAL CU"",""3/25/2026 11:23 AM"",""2.125"""
"Number,"""","""",""3"""
"Average,"""","""",""2.13003"""
"Maximum,"""","""",""2.13672"""
"Minimum,"""","""",""2.12537"""
"Range,"""","""",""0.01135"""
"Std dev.,"""","""",""0.00594"""
"RSD(%),"""","""",""0.28"""
