"","","","Cu"
"","","","ppm"
"04.45  Cu 25.03.26","CP OFICIAL CU","3/25/2026 11:04 AM","20.3",""
"04.45  Cu 25.03.26","CP OFICIAL CU","3/25/2026 11:06 AM","19.4",""
"04.45  Cu 25.03.26","CP OFICIAL CU","3/25/2026 11:08 AM","20.3",""
"Number","","","3"
"Average","","","20.0"
"Maximum","","","20.3"
"Minimum","","","19.4"
"Range","","","0.8"
"Std dev.","","","0.5"
"RSD(%)","","","2.43"

"","","","Mid-Z"
"","","","Cu-KA"
"","","","cps/µA"
"04.45  Cu 25.03.26","CP OFICIAL CU","3/25/2026 11:04 AM","2.119"
"04.45  Cu 25.03.26","CP OFICIAL CU","3/25/2026 11:06 AM","2.093"
"04.45  Cu 25.03.26","CP OFICIAL CU","3/25/2026 11:08 AM","2.119"
"Number","","","3"
"Average","","","2.11048"
"Maximum","","","2.11944"
"Minimum","","","2.09259"
"Range","","","0.02684"
"Std dev.","","","0.01549"
"RSD(%)","","","0.73"

