"","","","Cu"
"","","","ppm"
"06.10  Cu 25.03.26","CP OFICIAL CU","3/25/2026 10:39 AM","23.2",""
"06.10  Cu 25.03.26","CP OFICIAL CU","3/25/2026 10:41 AM","23.6",""
"06.10  Cu 25.03.26","CP OFICIAL CU","3/25/2026 10:43 AM","23.9",""
"Number","","","3"
"Average","","","23.6"
"Maximum","","","23.9"
"Minimum","","","23.2"
"Range","","","0.8"
"Std dev.","","","0.4"
"RSD(%)","","","1.62"

"","","","Mid-Z"
"","","","Cu-KA"
"","","","cps/µA"
"06.10  Cu 25.03.26","CP OFICIAL CU","3/25/2026 10:39 AM","2.211"
"06.10  Cu 25.03.26","CP OFICIAL CU","3/25/2026 10:41 AM","2.225"
"06.10  Cu 25.03.26","CP OFICIAL CU","3/25/2026 10:43 AM","2.236"
"Number","","","3"
"Average","","","2.22390"
"Maximum","","","2.23564"
"Minimum","","","2.21129"
"Range","","","0.02435"
"Std dev.","","","0.01220"
"RSD(%)","","","0.55"

