","""","""",""Cu"","""",""Mn"""
","""","""",""ppm"","""",""ppm"""
"02.400 CR Mn -Cu 26.11.25 ,""CP Oficial Cu-Mn"",""11/26/2025 11:19 AM"",""16.9"","""",""26.6"","""""
"02.400 CR Mn -Cu 26.11.25 ,""CP Oficial Cu-Mn"",""11/26/2025 11:22 AM"",""18.5"","""",""25.5"","""""
"02.400 CR Mn -Cu 26.11.25 ,""CP Oficial Cu-Mn"",""11/26/2025 11:24 AM"",""17.5"","""",""26.9"","""""
"Number,"""","""",""3"","""",""3"""
"Average,"""","""",""17.6"","""",""26.3"""
"Maximum,"""","""",""18.5"","""",""26.9"""
"Minimum,"""","""",""16.9"","""",""25.5"""
"Range,"""","""",""1.6"","""",""1.4"""
"Std dev.,"""","""",""0.8"","""",""0.7"""
"RSD(%),"""","""",""4.51"","""",""2.77"""

","""","""",""Mid-Z"",""Mid-Z"""
","""","""",""Mn-KA"",""Cu-KA"""
","""","""",""cps/µA"",""cps/µA"""
"02.400 CR Mn -Cu 26.11.25 ,""CP Oficial Cu-Mn"",""11/26/2025 11:19 AM"",""0.498"",""1.952"""
"02.400 CR Mn -Cu 26.11.25 ,""CP Oficial Cu-Mn"",""11/26/2025 11:22 AM"",""0.492"",""2.000"""
"02.400 CR Mn -Cu 26.11.25 ,""CP Oficial Cu-Mn"",""11/26/2025 11:24 AM"",""0.500"",""1.969"""
"Number,"""","""",""3"",""3"""
"Average,"""","""",""0.49650"",""1.97352"""
"Maximum,"""","""",""0.49992"",""1.99985"""
"Minimum,"""","""",""0.49152"",""1.95171"""
"Range,"""","""",""0.00840"",""0.04814"""
"Std dev.,"""","""",""0.00441"",""0.02438"""
"RSD(%),"""","""",""0.89"",""1.24"""
