"","","","Cu"
"","","","ppm"
"06.Iso Cu 150 24.03.26","CP OFICIAL CU","3/24/2026 2:24 PM","130",""
"06.Iso Cu 150 24.03.26","CP OFICIAL CU","3/24/2026 2:27 PM","130",""
"06.Iso Cu 150 24.03.26","CP OFICIAL CU","3/24/2026 2:29 PM","130",""
"Number","","","3"
"Average","","","130"
"Maximum","","","130"
"Minimum","","","130"
"Range","","","0"
"Std dev.","","","0"
"RSD(%)","","","0.09"

"","","","Mid-Z"
"","","","Cu-KA"
"","","","cps/µA"
"06.Iso Cu 150 24.03.26","CP OFICIAL CU","3/24/2026 2:24 PM","5.626"
"06.Iso Cu 150 24.03.26","CP OFICIAL CU","3/24/2026 2:27 PM","5.628"
"06.Iso Cu 150 24.03.26","CP OFICIAL CU","3/24/2026 2:29 PM","5.633"
"Number","","","3"
"Average","","","5.62919"
"Maximum","","","5.63343"
"Minimum","","","5.62596"
"Range","","","0.00748"
"Std dev.","","","0.00384"
"RSD(%)","","","0.07"

