","""","""",""Cu"""
","""","""",""ppm"""
"02.0.5  Cu 25.03.26,""CP OFICIAL CU"",""3/25/2026 10:15 AM"",""23.4"","""""
"02.0.5  Cu 25.03.26,""CP OFICIAL CU"",""3/25/2026 10:17 AM"",""23.4"","""""
"02.0.5  Cu 25.03.26,""CP OFICIAL CU"",""3/25/2026 10:19 AM"",""23.4"","""""
"Number,"""","""",""3"""
"Average,"""","""",""23.4"""
"Maximum,"""","""",""23.4"""
"Minimum,"""","""",""23.4"""
"Range,"""","""",""0.1"""
"Std dev.,"""","""",""0.0"""
"RSD(%),"""","""",""0.18"""

","""","""",""Mid-Z"""
","""","""",""Cu-KA"""
","""","""",""cps/µA"""
"02.0.5  Cu 25.03.26,""CP OFICIAL CU"",""3/25/2026 10:15 AM"",""2.219"""
"02.0.5  Cu 25.03.26,""CP OFICIAL CU"",""3/25/2026 10:17 AM"",""2.220"""
"02.0.5  Cu 25.03.26,""CP OFICIAL CU"",""3/25/2026 10:19 AM"",""2.217"""
"Number,"""","""",""3"""
"Average,"""","""",""2.21894"""
"Maximum,"""","""",""2.22005"""
"Minimum,"""","""",""2.21740"""
"Range,"""","""",""0.00265"""
"Std dev.,"""","""",""0.00138"""
"RSD(%),"""","""",""0.06"""
