","""","""",""Pb"""
","""","""",""ppm"""
"03.30  Pb 25.03.26,""CP OFICIAL CU"",""3/25/2026 10:58 AM"",""10.1"","""""
"03.30  Pb 25.03.26,""CP OFICIAL CU"",""3/25/2026 11:00 AM"",""10.3"","""""
"03.30  Pb 25.03.26,""CP OFICIAL CU"",""3/25/2026 11:02 AM"",""10.5"","""""
"Number,"""","""",""3"""
"Average,"""","""",""10.30"""
"Maximum,"""","""",""10.5"""
"Minimum,"""","""",""10.1"""
"Range,"""","""",""0.4"""
"Std dev.,"""","""",""0.20"""
"RSD(%),"""","""",""1.54"""

","""","""",""Mid-Z"""
","""","""",""Cu-KA"""
","""","""",""cps/µA"""
"03.30  Pb 25.03.26,""CP OFICIAL CU"",""3/25/2026 10:58 AM"",""2.202"""
"03.30  Pb 25.03.26,""CP OFICIAL CU"",""3/25/2026 11:00 AM"",""2.206"""
"03.30  Pb 25.03.26,""CP OFICIAL CU"",""3/25/2026 11:02 AM"",""2.188"""
"Number,"""","""",""3"""
"Average,"""","""",""2.19873"""
"Maximum,"""","""",""2.20566"""
"Minimum,"""","""",""2.18837"""
"Range,"""","""",""0.01729"""
"Std dev.,"""","""",""0.00914"""
"RSD(%),"""","""",""0.42"""
