,,,Pb
,,,ppm
03.01  Pb 25.03.26,CP OFICIAL CU,3/25/2026 10:21 AM,12.8
03.01  Pb 25.03.26,CP OFICIAL CU,3/25/2026 10:23 AM,12.9
03.01  Pb 25.03.26,CP OFICIAL CU,3/25/2026 10:25 AM,13.0
Number,,,3
Average,,,12.9
Maximum,,,13.0
Minimum,,,12.8
Range,,,0.2
Std dev.,,,0.1
RSD(%),,,0.73
,,,
,,,Mid-Z
,,,Cu-KA
,,,cps/µA
03.01  Pb 25.03.26,CP OFICIAL CU,3/25/2026 10:21 AM,2.214
03.01  Pb 25.03.26,CP OFICIAL CU,3/25/2026 10:23 AM,2.223
03.01  Pb 25.03.26,CP OFICIAL CU,3/25/2026 10:25 AM,2.207
Number,,,3
Average,,,2.21485
Maximum,,,2.22328
Minimum,,,2.20743
Range,,,0.01585
Std dev.,,,0.00797
RSD(%),,,0.36
