","""","""",""Pb"""
","""","""",""ppm"""
"04.45  Pb 25.03.26,""CP OFICIAL CU"",""3/25/2026 11:04 AM"",""9.39"","""""
"04.45  Pb 25.03.26,""CP OFICIAL CU"",""3/25/2026 11:06 AM"",""9.42"","""""
"04.45  Pb 25.03.26,""CP OFICIAL CU"",""3/25/2026 11:08 AM"",""9.81"","""""
"Number,"""","""",""3"""
"Average,"""","""",""9.54"""
"Maximum,"""","""",""9.81"""
"Minimum,"""","""",""9.39"""
"Range,"""","""",""0.42"""
"Std dev.,"""","""",""0.23"""
"RSD(%),"""","""",""2.44"""

","""","""",""Mid-Z"""
","""","""",""Cu-KA"""
","""","""",""cps/µA"""
"04.45  Pb 25.03.26,""CP OFICIAL CU"",""3/25/2026 11:04 AM"",""2.119"""
"04.45  Pb 25.03.26,""CP OFICIAL CU"",""3/25/2026 11:06 AM"",""2.093"""
"04.45  Pb 25.03.26,""CP OFICIAL CU"",""3/25/2026 11:08 AM"",""2.119"""
"Number,"""","""",""3"""
"Average,"""","""",""2.11048"""
"Maximum,"""","""",""2.11944"""
"Minimum,"""","""",""2.09259"""
"Range,"""","""",""0.02684"""
"Std dev.,"""","""",""0.01549"""
"RSD(%),"""","""",""0.73"""
