","""","""",""Pb"""
","""","""",""ppm"""
"05.60  Pb 25.03.26,""CP OFICIAL CU"",""3/25/2026 11:10 AM"",""8.91"","""""
"05.60  Pb 25.03.26,""CP OFICIAL CU"",""3/25/2026 11:12 AM"",""9.07"","""""
"05.60  Pb 25.03.26,""CP OFICIAL CU"",""3/25/2026 11:14 AM"",""8.99"","""""
"Number,"""","""",""3"""
"Average,"""","""",""8.99"""
"Maximum,"""","""",""9.07"""
"Minimum,"""","""",""8.91"""
"Range,"""","""",""0.16"""
"Std dev.,"""","""",""0.08"""
"RSD(%),"""","""",""0.93"""

","""","""",""Mid-Z"""
","""","""",""Cu-KA"""
","""","""",""cps/µA"""
"05.60  Pb 25.03.26,""CP OFICIAL CU"",""3/25/2026 11:10 AM"",""2.190"""
"05.60  Pb 25.03.26,""CP OFICIAL CU"",""3/25/2026 11:12 AM"",""2.185"""
"05.60  Pb 25.03.26,""CP OFICIAL CU"",""3/25/2026 11:14 AM"",""2.179"""
"Number,"""","""",""3"""
"Average,"""","""",""2.18441"""
"Maximum,"""","""",""2.18991"""
"Minimum,"""","""",""2.17881"""
"Range,"""","""",""0.01110"""
"Std dev.,"""","""",""0.00555"""
"RSD(%),"""","""",""0.25"""
