","""","""",""Pb"""
","""","""",""ppm"""
"02.90  Pb 25.03.26,""CP OFICIAL CU"",""3/25/2026 11:18 AM"",""8.59"","""""
"02.90  Pb 25.03.26,""CP OFICIAL CU"",""3/25/2026 11:21 AM"",""8.93"","""""
"02.90  Pb 25.03.26,""CP OFICIAL CU"",""3/25/2026 11:23 AM"",""8.90"","""""
"Number,"""","""",""3"""
"Average,"""","""",""8.81"""
"Maximum,"""","""",""8.93"""
"Minimum,"""","""",""8.59"""
"Range,"""","""",""0.34"""
"Std dev.,"""","""",""0.19"""
"RSD(%),"""","""",""2.14"""

","""","""",""Mid-Z"""
","""","""",""Cu-KA"""
","""","""",""cps/µA"""
"02.90  Pb 25.03.26,""CP OFICIAL CU"",""3/25/2026 11:18 AM"",""2.128"""
"02.90  Pb 25.03.26,""CP OFICIAL CU"",""3/25/2026 11:21 AM"",""2.137"""
"02.90  Pb 25.03.26,""CP OFICIAL CU"",""3/25/2026 11:23 AM"",""2.125"""
"Number,"""","""",""3"""
"Average,"""","""",""2.13003"""
"Maximum,"""","""",""2.13672"""
"Minimum,"""","""",""2.12537"""
"Range,"""","""",""0.01135"""
"Std dev.,"""","""",""0.00594"""
"RSD(%),"""","""",""0.28"""
