","""","""",""Pb"""
","""","""",""ppm"""
"02.15  Pb 25.03.26,""CP OFICIAL CU"",""3/25/2026 10:51 AM"",""11.3"","""""
"02.15  Pb 25.03.26,""CP OFICIAL CU"",""3/25/2026 10:54 AM"",""11.3"","""""
"02.15  Pb 25.03.26,""CP OFICIAL CU"",""3/25/2026 10:56 AM"",""11.1"","""""
"Number,"""","""",""3"""
"Average,"""","""",""11.23"""
"Maximum,"""","""",""11.3"""
"Minimum,"""","""",""11.1"""
"Range,"""","""",""0.2"""
"Std dev.,"""","""",""0.12"""
"RSD(%),"""","""",""0.95"""

","""","""",""Mid-Z"""
","""","""",""Cu-KA"""
","""","""",""cps/µA"""
"02.15  Pb 25.03.26,""CP OFICIAL CU"",""3/25/2026 10:51 AM"",""2.225"""
"02.15  Pb 25.03.26,""CP OFICIAL CU"",""3/25/2026 10:54 AM"",""2.220"""
"02.15  Pb 25.03.26,""CP OFICIAL CU"",""3/25/2026 10:56 AM"",""2.216"""
"Number,"""","""",""3"""
"Average,"""","""",""2.22035"""
"Maximum,"""","""",""2.22510"""
"Minimum,"""","""",""2.21642"""
"Range,"""","""",""0.00868"""
"Std dev.,"""","""",""0.00440"""
"RSD(%),"""","""",""0.20"""
