","""","""",""Pb"""
","""","""",""ppm"""
"02.0.5  Pb 25.03.26,""CP OFICIAL CU"",""3/25/2026 10:15 AM"",""12.8"","""""
"02.0.5  Pb 25.03.26,""CP OFICIAL CU"",""3/25/2026 10:17 AM"",""12.5"","""""
"02.0.5  Pb 25.03.26,""CP OFICIAL CU"",""3/25/2026 10:19 AM"",""12.5"","""""
"Number,"""","""",""3"""
"Average,"""","""",""12.60"""
"Maximum,"""","""",""12.8"""
"Minimum,"""","""",""12.5"""
"Range,"""","""",""0.3"""
"Std dev.,"""","""",""0.17"""
"RSD(%),"""","""",""1.37"""

","""","""",""Mid-Z"""
","""","""",""Cu-KA"""
","""","""",""cps/µA"""
"02.0.5  Pb 25.03.26,""CP OFICIAL CU"",""3/25/2026 10:15 AM"",""2.219"""
"02.0.5  Pb 25.03.26,""CP OFICIAL CU"",""3/25/2026 10:17 AM"",""2.220"""
"02.0.5  Pb 25.03.26,""CP OFICIAL CU"",""3/25/2026 10:19 AM"",""2.217"""
"Number,"""","""",""3"""
"Average,"""","""",""2.21894"""
"Maximum,"""","""",""2.22005"""
"Minimum,"""","""",""2.21740"""
"Range,"""","""",""0.00265"""
"Std dev.,"""","""",""0.00138"""
"RSD(%),"""","""",""0.06"""
