"","","","Cu","","Pb"
"","","","ppm","","ppm"
"AK2Pb30Cu30HIB6p6t90R1","CP Pb+ Cu 23.06","6/26/2026 12:17 PM","20.2","","10.9",""
"AK2Pb30Cu30HIB6p6t90R1","CP Pb+ Cu 23.06","6/26/2026 12:21 PM","20.6","","11.1",""
"AK2Pb30Cu30HIB6p6t90R1","CP Pb+ Cu 23.06","6/26/2026 12:25 PM","21.5","","11.0",""
"Number","","","3","","3"
"Average","","","20.7","","11.0"
"Maximum","","","21.5","","11.1"
"Minimum","","","20.2","","10.9"
"Range","","","1.2","","0.2"
"Std dev.","","","0.6","","0.1"
"RSD(%)","","","3.09","","0.98"

"","","","Low-Z","Mid-Z","Mid-Z","Mid-Z"
"","","","Pb-MA","Cu-KA","Pb-LA","Pb-LB1"
"","","","cps/µA","cps/µA","cps/µA","cps/µA"
"AK2Pb30Cu30HIB6p6t90R1","CP Pb+ Cu 23.06","6/26/2026 12:17 PM","12.168","2.181","0.866","1.575"
"AK2Pb30Cu30HIB6p6t90R1","CP Pb+ Cu 23.06","6/26/2026 12:21 PM","12.193","2.192","0.876","1.567"
"AK2Pb30Cu30HIB6p6t90R1","CP Pb+ Cu 23.06","6/26/2026 12:25 PM","12.196","2.221","0.870","1.589"
"Number","","","3","3","3","3"
"Average","","","12.18557","2.19798","0.87087","1.57718"
"Maximum","","","12.19627","2.22069","0.87632","1.58921"
"Minimum","","","12.16781","2.18133","0.86607","1.56729"
"Range","","","0.02846","0.03936","0.01025","0.02192"
"Std dev.","","","0.01549","0.02037","0.00516","0.01112"
"RSD(%)","","","0.13","0.93","0.59","0.70"

