"","","","Cu","","Pb"
"","","","ppm","","ppm"
"AK2Pb30Cu30HIB6p6t15R1","CP Pb+ Cu 23.06","6/26/2026 11:28 AM","23.5","","15.1",""
"AK2Pb30Cu30HIB6p6t15R1","CP Pb+ Cu 23.06","6/26/2026 11:33 AM","24.6","","15.6",""
"AK2Pb30Cu30HIB6p6t15R1","CP Pb+ Cu 23.06","6/26/2026 11:37 AM","23.6","","15.2",""
"Number","","","3","","3"
"Average","","","23.9","","15.3"
"Maximum","","","24.6","","15.6"
"Minimum","","","23.5","","15.1"
"Range","","","1.0","","0.5"
"Std dev.","","","0.6","","0.3"
"RSD(%)","","","2.40","","1.79"

"","","","Low-Z","Mid-Z","Mid-Z","Mid-Z"
"","","","Pb-MA","Cu-KA","Pb-LA","Pb-LB1"
"","","","cps/µA","cps/µA","cps/µA","cps/µA"
"AK2Pb30Cu30HIB6p6t15R1","CP Pb+ Cu 23.06","6/26/2026 11:28 AM","12.210","2.287","1.067","1.807"
"AK2Pb30Cu30HIB6p6t15R1","CP Pb+ Cu 23.06","6/26/2026 11:33 AM","12.206","2.320","1.092","1.810"
"AK2Pb30Cu30HIB6p6t15R1","CP Pb+ Cu 23.06","6/26/2026 11:37 AM","12.234","2.290","1.072","1.821"
"Number","","","3","3","3","3"
"Average","","","12.21668","2.29864","1.07742","1.81265"
"Maximum","","","12.23416","2.31965","1.09233","1.82086"
"Minimum","","","12.20585","2.28667","1.06747","1.80732"
"Range","","","0.02831","0.03299","0.02486","0.01355"
"Std dev.","","","0.01528","0.01825","0.01315","0.00722"
"RSD(%)","","","0.13","0.79","1.22","0.40"

