"","","","Cu","","Pb"
"","","","ppm","","ppm"
"AK2Pb30Cu30HIB6p6t3R1","CP Pb+ Cu 23.06","6/26/2026 10:42 AM","27.6","","16.6",""
"AK2Pb30Cu30HIB6p6t3R1","CP Pb+ Cu 23.06","6/26/2026 10:47 AM","27.6","","16.1",""
"AK2Pb30Cu30HIB6p6t3R1","CP Pb+ Cu 23.06","6/26/2026 10:50 AM","27.1","","16.2",""
"Number","","","3","","3"
"Average","","","27.4","","16.3"
"Maximum","","","27.6","","16.6"
"Minimum","","","27.1","","16.1"
"Range","","","0.5","","0.5"
"Std dev.","","","0.3","","0.2"
"RSD(%)","","","1.09","","1.53"

"","","","Low-Z","Mid-Z","Mid-Z","Mid-Z"
"","","","Pb-MA","Cu-KA","Pb-LA","Pb-LB1"
"","","","cps/µA","cps/µA","cps/µA","cps/µA"
"AK2Pb30Cu30HIB6p6t3R1","CP Pb+ Cu 23.06","6/26/2026 10:42 AM","12.089","2.415","1.139","1.841"
"AK2Pb30Cu30HIB6p6t3R1","CP Pb+ Cu 23.06","6/26/2026 10:47 AM","12.099","2.415","1.116","1.842"
"AK2Pb30Cu30HIB6p6t3R1","CP Pb+ Cu 23.06","6/26/2026 10:50 AM","12.101","2.399","1.122","1.856"
"Number","","","3","3","3","3"
"Average","","","12.09611","2.40974","1.12563","1.84603"
"Maximum","","","12.10071","2.41529","1.13901","1.85560"
"Minimum","","","12.08880","2.39878","1.11589","1.84072"
"Range","","","0.01191","0.01651","0.02312","0.01488"
"Std dev.","","","0.00640","0.00950","0.01198","0.00830"
"RSD(%)","","","0.05","0.39","1.06","0.45"

