"","","","Cu","","Pb"
"","","","ppm","","ppm"
"AK2Pb30Cu30HIB6p6t10R1","CP Pb+ Cu 23.06","6/26/2026 11:06 AM","24.9","","15.7",""
"AK2Pb30Cu30HIB6p6t10R1","CP Pb+ Cu 23.06","6/26/2026 11:11 AM","25.0","","15.3",""
"AK2Pb30Cu30HIB6p6t10R1","CP Pb+ Cu 23.06","6/26/2026 11:14 AM","24.5","","15.3",""
"Number","","","3","","3"
"Average","","","24.8","","15.4"
"Maximum","","","25.0","","15.7"
"Minimum","","","24.5","","15.3"
"Range","","","0.5","","0.4"
"Std dev.","","","0.3","","0.2"
"RSD(%)","","","1.12","","1.27"

"","","","Low-Z","Mid-Z","Mid-Z","Mid-Z"
"","","","Pb-MA","Cu-KA","Pb-LA","Pb-LB1"
"","","","cps/µA","cps/µA","cps/µA","cps/µA"
"AK2Pb30Cu30HIB6p6t10R1","CP Pb+ Cu 23.06","6/26/2026 11:06 AM","12.233","2.331","1.095","1.816"
"AK2Pb30Cu30HIB6p6t10R1","CP Pb+ Cu 23.06","6/26/2026 11:11 AM","12.195","2.333","1.078","1.806"
"AK2Pb30Cu30HIB6p6t10R1","CP Pb+ Cu 23.06","6/26/2026 11:14 AM","12.210","2.317","1.079","1.786"
"Number","","","3","3","3","3"
"Average","","","12.21281","2.32708","1.08380","1.80236"
"Maximum","","","12.23342","2.33296","1.09463","1.81566"
"Minimum","","","12.19533","2.31697","1.07776","1.78574"
"Range","","","0.03809","0.01599","0.01687","0.02992"
"Std dev.","","","0.01923","0.00880","0.00940","0.01523"
"RSD(%)","","","0.16","0.38","0.87","0.85"

