"","","","Cu","","Pb"
"","","","ppm","","ppm"
"AK2Pb30Cu30HIB6p6t60R1","CP Pb+ Cu 23.06","6/26/2026 12:05 PM","22.3","","11.8",""
"AK2Pb30Cu30HIB6p6t60R1","CP Pb+ Cu 23.06","6/26/2026 12:09 PM","21.3","","11.5",""
"AK2Pb30Cu30HIB6p6t60R1","CP Pb+ Cu 23.06","6/26/2026 12:13 PM","23.1","","11.8",""
"Number","","","3","","3"
"Average","","","22.2","","11.7"
"Maximum","","","23.1","","11.8"
"Minimum","","","21.3","","11.5"
"Range","","","1.8","","0.3"
"Std dev.","","","0.9","","0.2"
"RSD(%)","","","3.97","","1.38"

"","","","Low-Z","Mid-Z","Mid-Z","Mid-Z"
"","","","Pb-MA","Cu-KA","Pb-LA","Pb-LB1"
"","","","cps/µA","cps/µA","cps/µA","cps/µA"
"AK2Pb30Cu30HIB6p6t60R1","CP Pb+ Cu 23.06","6/26/2026 12:05 PM","12.152","2.247","0.911","1.636"
"AK2Pb30Cu30HIB6p6t60R1","CP Pb+ Cu 23.06","6/26/2026 12:09 PM","12.108","2.216","0.896","1.626"
"AK2Pb30Cu30HIB6p6t60R1","CP Pb+ Cu 23.06","6/26/2026 12:13 PM","12.124","2.272","0.907","1.596"
"Number","","","3","3","3","3"
"Average","","","12.12794","2.24513","0.90466","1.61939"
"Maximum","","","12.15172","2.27205","0.91064","1.63579"
"Minimum","","","12.10847","2.21609","0.89592","1.59644"
"Range","","","0.04324","0.05596","0.01472","0.03935"
"Std dev.","","","0.02194","0.02804","0.00774","0.02048"
"RSD(%)","","","0.18","1.25","0.86","1.26"

