"","","","Cu","","Pb"
"","","","ppm","","ppm"
"AK2Pb30Cu30HIB6p6t7R1","CP Pb+ Cu 23.06","6/26/2026 10:54 AM","24.5","","16.2",""
"AK2Pb30Cu30HIB6p6t7R1","CP Pb+ Cu 23.06","6/26/2026 10:59 AM","23.9","","16.2",""
"AK2Pb30Cu30HIB6p6t7R1","CP Pb+ Cu 23.06","6/26/2026 11:02 AM","24.7","","16.2",""
"Number","","","3","","3"
"Average","","","24.4","","16.2"
"Maximum","","","24.7","","16.2"
"Minimum","","","23.9","","16.2"
"Range","","","0.8","","0.0"
"Std dev.","","","0.4","","0.0"
"RSD(%)","","","1.68","","0.17"

"","","","Low-Z","Mid-Z","Mid-Z","Mid-Z"
"","","","Pb-MA","Cu-KA","Pb-LA","Pb-LB1"
"","","","cps/µA","cps/µA","cps/µA","cps/µA"
"AK2Pb30Cu30HIB6p6t7R1","CP Pb+ Cu 23.06","6/26/2026 10:54 AM","12.241","2.317","1.121","1.896"
"AK2Pb30Cu30HIB6p6t7R1","CP Pb+ Cu 23.06","6/26/2026 10:59 AM","12.230","2.298","1.118","1.861"
"AK2Pb30Cu30HIB6p6t7R1","CP Pb+ Cu 23.06","6/26/2026 11:02 AM","12.208","2.323","1.121","1.871"
"Number","","","3","3","3","3"
"Average","","","12.22621","2.31265","1.11987","1.87599"
"Maximum","","","12.24083","2.32308","1.12065","1.89610"
"Minimum","","","12.20807","2.29815","1.11834","1.86089"
"Range","","","0.03276","0.02493","0.00231","0.03521"
"Std dev.","","","0.01666","0.01295","0.00133","0.01813"
"RSD(%)","","","0.14","0.56","0.12","0.97"

